step,MSE,val MSE,PSNR (dB),val PSNR,MSSSIM,val MSSSIM
1,0.009085051610822653,0.004512816728295192,21.62994402381265,23.14985868205195,0.8619727320542001,0.924411072679188
2,0.0040375309807966185,0.003643702072820262,23.97788438371792,24.118297493976094,0.9368385165739971,0.9434673293777134
3,0.003571680130787004,0.0035540094831958413,24.5094451296861,24.260815205781356,0.9463333977255851,0.9488521010979362
4,0.003149502254447123,0.003007733840090425,25.068152111806686,24.967631961988367,0.9524919345120716,0.9543570085712101
5,0.002921460834064871,0.0027480867524307382,25.390646333147767,25.35896110534668,0.9559380377933477,0.9564816588940828
6,0.0027527255517768726,0.002586323484454466,25.65208339691162,25.61587317093559,0.9584535739983723,0.9595046211843905
7,0.002593607100462363,0.002508547197541465,25.919856739651625,25.75764150204866,0.960859529152038,0.9612663945426112
8,0.00252861629802271,0.002432731769817031,26.02530729694731,25.932898106782332,0.9622843635689681,0.9624139640642249
9,0.002445427300838552,0.00239824032937379,26.170360808159895,26.008455069168754,0.9634746854092665,0.9632251716178396
10,0.0023929872075511014,0.002333152178755921,26.267148989780694,26.173881447833516,0.9644472207992699,0.9641378379386404
11,0.002771166262252458,0.002306373055983821,26.01936453922539,26.203197852424953,0.9639584321504945,0.9644472041855687
12,0.0023090279313356015,0.002290317773535524,26.43075226218837,26.26005985425866,0.965625616015902,0.9650888378205507
13,0.002291976325925748,0.0022750844490592895,26.472853132114288,26.28362116606339,0.9662077817947242,0.9655694819015005
14,0.00254100666842631,0.0022471353016874714,26.223219355200506,26.353685876597527,0.9656445936412569,0.9658187563004701
15,0.0022548596125546915,0.0022434247379272206,26.536562931765417,26.396048131196395,0.9669779468873504,0.9661871466947638
